Date,VH
2019-10-11,-16.407883636577797
2019-10-12,-16.374945443865375
2019-10-17,-15.899388977172586
2019-10-18,-15.7723508753331
2019-10-23,-15.08221333684513
2019-10-24,-14.94536761236343
2019-10-29,-14.519753191572038
2019-10-30,-14.519479247260328
2019-11-4,-14.949690930293565
2019-11-5,-15.089473797722102
2019-11-10,-15.621565506103428
2019-11-11,-15.648230763830075
2019-11-16,-15.597229353667817
2019-11-17,-15.62797506809732
2019-11-22,-16.162962588057116
2019-11-23,-16.297123215077722
2019-11-28,-16.658117542461557
2019-11-29,-16.64241280552073
2019-12-4,-16.284099164170076
2019-12-5,-16.20586473892521
2019-12-10,-16.035874796481018
2019-12-11,-16.04006574047331
2019-12-16,-15.965464589512887
2019-12-17,-15.899661944893992
2019-12-22,-15.501975269163955
2019-12-23,-15.474386339610577
2019-12-28,-15.819149597970537
2019-12-29,-15.948688480312248
2020-1-3,-16.3826809971831
2020-1-4,-16.366874994060076
2020-1-9,-15.68019827319049
2020-1-10,-15.470977264765768
2020-1-15,-14.752302850040358
2020-1-16,-14.750120244735148
2020-1-21,-15.314190350284594
2020-1-22,-15.441003960108276
2020-1-27,-15.586138519382805
2020-1-28,-15.510912530740892
2020-2-3,-14.621273094230672
2020-2-8,-14.440555391391328
2020-2-9,-14.549175683169839
2020-2-14,-15.498512091579336
2020-2-15,-15.700927749480067
2020-2-20,-16.424772090128577
2020-2-21,-16.50805958910731
2020-2-26,-16.611462200798158
2020-2-27,-16.55642782646692
2020-3-3,-15.995315011856452
2020-3-4,-15.86860163065604
2020-3-9,-15.354518617261466
2020-3-10,-15.271054939891506
2020-3-15,-14.987363037200359
2020-3-16,-14.980229966445494
2020-3-21,-15.286015831110706
2020-3-22,-15.402848092515276
2020-3-27,-16.062442050489036
2020-3-28,-16.18315062221959
2020-4-2,-16.538909854855728
2020-4-3,-16.543705288655023
2020-4-8,-16.358584393520367
2020-4-9,-16.316679221875738
2020-4-14,-16.2071351784046
2020-4-15,-16.20225169986086
2020-4-20,-16.225169204698574
2020-4-21,-16.22560773626613
2020-4-26,-16.021190337162356
2020-4-27,-15.921532841531898
2020-5-2,-15.264099618084348
2020-5-3,-15.15034651495848
2020-5-8,-14.922424929462181
2020-5-9,-14.933185772694413
2020-5-14,-14.985676407677015
2020-5-15,-14.967356714768984
2020-5-20,-14.765808110398797
2020-5-21,-14.731384354379367
2020-5-26,-14.684926099848088
2020-5-27,-14.686902970209202
2020-6-1,-14.660345766562592
2020-6-2,-14.65396156046914
2020-6-7,-14.698952021262857
2020-6-8,-14.725684135897513
2020-6-13,-14.94300461260767
2020-6-14,-15.001538224555834
2020-6-19,-15.23244722920675
2020-6-20,-15.237649229539024
2020-6-25,-15.021997230164933
2020-6-26,-14.956965950552426
2020-7-1,-14.796464870712342
2020-7-2,-14.821150248541665
2020-7-7,-15.119488234725031
2020-7-8,-15.168293661642466
2020-7-13,-15.213080280269558
2020-7-14,-15.212760592408443
2020-7-20,-15.557075075254653
2020-7-25,-15.823770424491599
2020-7-26,-15.811517529200952
2020-7-31,-15.505937687085932
2020-8-1,-15.41939385002698
2020-8-6,-15.048437322133974
2020-8-7,-15.005243664478833
2020-8-12,-14.951593306034564
2020-8-13,-14.953789835953753
2020-8-18,-14.860409544364787
2020-8-24,-14.760593709245791
2020-8-25,-14.78635748300677
2020-8-30,-14.964739692718647
2020-8-31,-14.98907159548434
2020-9-5,-15.06428540849158
2020-9-6,-15.086496221566613
2020-9-11,-15.248047383004465
2020-9-12,-15.276767627796545
2020-9-17,-15.353616833252254
2020-9-18,-15.363827276727987
2020-9-23,-15.45337013356491
2020-9-24,-15.469637466331173
2020-9-29,-15.322080707505489
2020-9-30,-15.226476051372472
2020-10-5,-14.604635916021392
2020-10-6,-14.512805012015104
2020-10-11,-14.589081662026524
2020-10-12,-14.714777591231718
2020-10-17,-15.619641378291023
2020-10-18,-15.807811783118254
2020-10-23,-16.558171791693024
2020-10-24,-16.662748181136152
2020-10-29,-16.9102214536824
2020-10-30,-16.900160602494317
2020-11-4,-16.74559657946225
2020-11-5,-16.73889805529282
2020-11-10,-16.875253750144616
2020-11-11,-16.891483445582317
2020-11-16,-16.54667892802417
2020-11-17,-16.386807908765242
2020-11-22,-15.6679120719579
2020-11-23,-15.641403050397669
2020-11-28,-16.204253516529835
2020-11-29,-16.371596765652505
2020-12-4,-16.833153190199187
2020-12-10,-16.78275312857602
2020-12-11,-16.816759564268093
2020-12-16,-17.07903444612009
2020-12-17,-17.10315857624819
2020-12-22,-17.05957880285539
2020-12-23,-17.065213684339266
2020-12-28,-17.209515992351985
2020-12-29,-17.207342744667905
2021-1-3,-16.84183733536052
2021-1-4,-16.72751772106268
2021-1-9,-16.258376052383912
2021-1-10,-16.215386435991068
2021-1-15,-16.392683433946498
2021-1-16,-16.487630994421504
2021-1-21,-16.67316445100578
2021-1-22,-16.57947524608045
2021-1-27,-15.827899524464815
2021-1-28,-15.76419306552805
2021-2-2,-16.363921026728082
2021-2-3,-16.5971524855941
2021-2-8,-17.55002593861703
2021-2-9,-17.639858566248535
2021-2-14,-17.48377596114556
2021-2-15,-17.34771910359811
2021-2-20,-16.557122402221367
2021-2-21,-16.45732810847203
2021-2-26,-16.563854835508888
2021-2-27,-16.671311455828366
2021-3-4,-17.056410798146622
2021-3-5,-17.049416421960352
2021-3-10,-16.71329104289617
2021-3-11,-16.645896657530887
2021-3-16,-16.65858238012015
2021-3-17,-16.741912575931895
2021-3-22,-17.259665999482394
2021-3-28,-17.041130968912682
2021-3-29,-16.96760324908114
2021-4-3,-16.568632060948076
2021-4-4,-16.448584616833386
2021-4-9,-15.638605839537082
2021-4-10,-15.47534414153261
2021-4-15,-14.983041231011722
2021-4-16,-14.965544777353491
2021-4-21,-15.060422751516276
2021-4-22,-15.07119714231401
2021-4-27,-15.115225523529412
2021-4-28,-15.157044615010477
2021-5-3,-15.4736936217785
2021-5-4,-15.52042489461268
2021-5-9,-15.693314446516453
2021-5-10,-15.752013528076466
2021-5-15,-16.066814473340912
2021-5-16,-16.071682301436095
2021-5-21,-15.720662745173842
2021-5-22,-15.637339459393852
2021-5-27,-15.518078543847983
2021-5-28,-15.546373176146702
2021-6-2,-15.713810456447247
2021-6-3,-15.717663681400683
2021-6-8,-15.35844322304566
2021-6-9,-15.210850337152849
2021-6-14,-14.398431579181608
2021-6-15,-14.269870803008745
2021-6-20,-14.009105618430064
2021-6-21,-14.037814794358942
2021-6-26,-14.53767408881804
2021-6-27,-14.709469965112108
2021-7-2,-15.875087516031027
2021-7-8,-16.179239252615233
2021-7-9,-16.01516360734769
2021-7-14,-15.03129249293248
2021-7-15,-14.885598104172074
2021-7-20,-14.538091943156955
2021-7-21,-14.510170013139167
2021-7-26,-14.477276186279365
2021-7-27,-14.505234261019755
2021-8-1,-14.75117844746767
2021-8-2,-14.800261289386423
2021-8-7,-15.239008641788018
2021-8-8,-15.40768389959694
2021-8-13,-16.19482717292436
2021-8-14,-16.208220876524244
2021-8-19,-15.45701779621075
2021-8-20,-15.280735599638302
2021-8-25,-15.193727857903397
2021-8-26,-15.334286512572376
2021-8-31,-15.969674873171671
2021-9-1,-15.964193940821236
2021-9-6,-15.459636948618954
2021-9-7,-15.397640986171771
2021-9-12,-15.614101640900376
2021-9-13,-15.676393120030554
2021-9-18,-15.574383305370636
2021-9-19,-15.49425191681158
2021-9-24,-15.203553735855243
2021-9-25,-15.19877449417584
2021-9-30,-15.48047262940152
2021-10-1,-15.59044785434074
2021-10-6,-16.31976324164164
2021-10-7,-16.47749313806432
2021-10-12,-17.031980435825464
2021-10-13,-17.07170285315666
2021-10-18,-17.04555322127353
2021-10-19,-17.0368581081655
2021-10-24,-17.13570219425022
2021-10-25,-17.15906476919887
2021-10-30,-16.880678426795896
2021-10-31,-16.723882541142153
2021-11-5,-15.90757132992948
2021-11-6,-15.83252557389372
2021-11-11,-16.093126917774068
2021-11-12,-16.22895686289792
2021-11-17,-17.159266353229913
2021-11-18,-17.41743943945772
2021-11-23,-19.10448470905431
2021-11-24,-19.48153390441369
2021-11-29,-21.149385523873978
2021-11-30,-21.399093674655195
2021-12-5,-22.057747368152672
2021-12-6,-22.074951942916652
2021-12-11,-22.062161723357633
2021-12-12,-22.126413006011877
2021-12-17,-22.78354391951909
2021-12-18,-22.892601946379138
2021-12-24,-22.87156862583736
2021-12-29,-23.37579474524628
2022-1-5,-24.549813690068156
2022-1-10,-22.987832630218595
2022-1-17,-20.143041234100746
2022-1-22,-19.507192466139266
2022-1-29,-19.761894797224873
2022-2-3,-19.431821696824723
2022-2-10,-20.130339085497067
2022-2-15,-19.580923401315104
2022-2-22,-18.37005384877104
2022-2-27,-18.781282532654515
2022-3-6,-19.527612542684906
2022-3-11,-19.545157152792665
2022-3-18,-19.02957665472409
2022-3-23,-18.784560460893477
2022-3-30,-17.78866240477872
2022-4-4,-17.780856365606834
2022-4-11,-19.865496091002566
2022-4-16,-20.790869585898797
2022-4-23,-20.4151384671155
2022-4-28,-20.94240554071482
2022-5-5,-19.150635191483573
2022-5-10,-18.74410857061313
2022-5-17,-20.04127336975227
2022-5-22,-19.770972553534
2022-5-29,-17.44055482025234
2022-6-3,-16.713817561977248
2022-6-10,-16.76332196364678
2022-6-15,-17.72343207112423
2022-6-22,-18.881119052452874
2022-6-27,-20.329929695326385
2022-7-4,-21.333558439681774
2022-7-9,-20.951467352645892
2022-7-16,-19.847656691659513
2022-7-21,-19.726652140764276
2022-7-28,-20.7584499498925
2022-8-2,-21.66584219749587
2022-8-9,-21.662086767496774
2022-8-14,-20.781239103699875
2022-8-21,-20.65368172800434
2022-8-26,-21.90194076785239
2022-9-7,-19.71169940796541
2022-9-14,-20.527406302152837
2022-9-19,-20.97362807325153
2022-9-26,-19.56888097324754
2022-10-1,-19.71687074366085
2022-10-8,-19.37507307100645
2022-10-13,-18.498369395886712
2022-10-20,-16.58417730072806
2022-10-25,-17.208743938073805
2022-11-1,-17.268074253246457
2022-11-6,-17.53513102015304
2022-11-13,-17.25065515005893
2022-11-18,-17.13911184737308
2022-11-25,-18.51874197007114
2022-11-30,-18.755150015010994
2022-12-7,-17.77142796458649
2022-12-12,-18.36108798348907
2022-12-19,-18.16689000653073
2022-12-24,-18.711477919313896
2022-12-31,-19.0016484437909
2023-1-5,-19.269249194840924
2023-1-12,-18.28041691891717
2023-1-17,-18.541972852996174
2023-1-24,-18.63390046449244
2023-1-29,-18.233267726193024
2023-2-5,-19.432142004217138
2023-2-10,-20.81771563226683
2023-2-17,-20.37487764856366
2023-2-22,-19.076967074780086
2023-3-1,-18.690306171925318
2023-3-6,-19.513757725537104
2023-3-13,-20.673152160596032
2023-3-18,-20.682020803287795
2023-3-25,-20.36954623618419
2023-3-30,-20.289106605428056
2023-4-6,-19.623701924885836
2023-4-11,-20.201063976324132
2023-4-18,-20.38682500559151
2023-4-23,-20.05488458086715
2023-4-30,-20.048209546194332
2023-5-5,-20.077964048620107
2023-5-12,-18.463284342157625
2023-5-17,-18.44517371695241
2023-5-24,-18.987604026753655
2023-5-29,-19.205156807413548
2023-6-5,-20.838102954940265
2023-6-10,-21.607981928822962
2023-6-17,-22.07655843921402
2023-6-22,-21.912925646861975
2023-6-29,-19.71285189593472
2023-7-4,-20.302142120953114
2023-7-11,-20.965218193320332
2023-7-16,-20.587944878542505
2023-7-23,-19.70112456576027
2023-7-28,-20.11423313247408
2023-8-4,-19.283139241719216
2023-8-9,-19.544663199848728
2023-8-16,-20.013308487492214
2023-8-21,-18.827711063655578
2023-8-28,-19.418320102591405
2023-9-2,-20.690996279658506
2023-9-9,-20.548225083373325
2023-9-14,-19.462463560394053
2023-9-21,-17.457385705370726
2023-9-26,-17.738819358997663
2023-10-3,-19.049597949665316
2023-10-8,-18.576931480095098
2023-10-15,-17.189381380430568
